,Datetime,Text,Hashtags
0,2023-06-22 19:32:11+00:00,@IsleyResistance Good take,
1,2023-06-22 18:44:43+00:00,"Has the SEC protected investors from a single large-scale crypto scam? 

A single one?

...",
2,2023-06-22 18:50:29+00:00,@Jcastweet Yes I've been telling people to get out of the US dollar for 12 years,
3,2023-06-22 18:49:00+00:00,@spliffymagoo https://t.co/hPvMh25ZoL,
4,2023-06-22 18:46:58+00:00,"@peterc201 Explain? 

Binance isn't a scam, and hasn't been stopped.",
5,2023-06-22 18:41:28+00:00,"#MakeAmericaStatesAgain

h/t @balajis",['MakeAmericaStatesAgain']
6,2023-06-22 17:46:14+00:00,"@tbr90 Ability to borrow against native BTC

(closest solution currently is Aave using wBTC)",
7,2023-06-20 18:05:25+00:00,@Akimbell @GaryGensler Please tell me why USDC is a security,
8,2023-06-20 17:13:40+00:00,"Meanwhile I’m relaxing in permissionless defi liquidity pools, moisturized, thriving.",
9,2023-06-20 15:50:35+00:00,@pmacaverse Define “dominated”,
10,2023-06-20 15:49:47+00:00,@ethereanbull They’re welcome to participate,
11,2023-06-20 02:59:18+00:00,@hlopez_ Did you know that anyone can propose anything on any blockchain?,
12,2023-06-19 19:52:12+00:00,"$10 million per week leaving FTX

None going to victims",
13,2023-06-19 02:24:05+00:00,@tunguz New York's tax rate,
14,2023-06-13 01:24:28+00:00,h/t @_lunahawk photo,
15,2023-06-12 21:17:53+00:00,https://t.co/LqEFdKDhrA,
16,2023-06-06 23:23:15+00:00,"@brucefenton Unreal that this needs to be said to ""bitcoiners""",
17,2023-06-06 20:12:46+00:00,Solvency of Binance &gt; Solvency of any US bank in a run scenario,
18,2023-06-06 18:10:03+00:00,The SEC doesn’t even agree with itself from Monday to Tuesday,
19,2023-06-06 17:50:11+00:00,@balajis https://t.co/mYcT5DVJM6,
20,2023-06-06 16:10:54+00:00,RT @Everythingascam: @ErikVoorhees https://t.co/HwyWFo1lEn,
21,2023-06-06 15:35:20+00:00,The decentralized ones.,
22,2023-06-06 13:09:07+00:00,Well-written laws can never protect people as well as well-written code.,
23,2023-06-05 22:01:00+00:00,Here's the head of the SEC promoting an unregistered security.,
24,2023-06-05 21:58:22+00:00,RT @RyanSAdams: Who do you trust more?,
25,2023-06-05 21:49:39+00:00,@PsychMateAI @binance @THORChain No cause I can't write code 😫,
26,2023-06-05 21:47:46+00:00,@binance @THORChain @cz_binance keep fighting the good fight sir,
27,2023-06-05 21:35:41+00:00,"@MichaelKogan14 @rivatez She just demolished your claim, have the grace to acknowledge it.",
28,2023-06-05 16:00:39+00:00,https://t.co/p1wXwzCtrV,
29,2023-06-05 14:47:27+00:00,"❌ Custodial
❌ Closed-source
✅ Non-custodial open-source

This is the way of the enlightened",
30,2023-06-05 05:02:20+00:00,"@jonathanmarcus Haha yes already have this beauty, so sick",
31,2023-06-05 04:59:05+00:00,"@ButtholeOprahs Great track, thank you 🙏",
32,2023-06-05 04:53:06+00:00,"@mygdl_a Not quite my vibe but getting there, thank you 🙏",
33,2023-06-05 04:51:54+00:00,@Zamsor1 https://t.co/Za0m9ghJmA,
34,2023-06-05 04:46:44+00:00,@Yaqovians Right after Eiffel 65,
35,2023-06-05 04:42:57+00:00,@gucciprayers Sick track 🙏,
36,2023-06-05 04:38:26+00:00,@PsychMateAI https://t.co/9ofGly34dp,
37,2023-06-04 03:01:42+00:00,@VivekGRamaswamy No borders?? You have my vote!,
38,2023-06-04 02:50:34+00:00,@WarrenDavidson The left sounds a lot like the right in this example.,
39,2023-06-04 02:41:44+00:00,@0xAlaric The Resistance Banker,
40,2023-06-03 19:17:44+00:00,@PsychMateAI @Ben64319554 @PsychMateAI I love u but you’d be cooler if you turned the woke knob down,
41,2023-06-02 19:50:57+00:00,@AdamSinger Those could be the same place and time...,
42,2023-06-02 03:54:01+00:00,"RT @ancapquotes: ""Disobedience is the true foundation of liberty."" - Henry David Thoreau",
43,2023-06-02 01:00:57+00:00,@Paul08113166 coooool,
44,2023-06-02 00:20:49+00:00,RT @THORChain: Listen to the lending soft launch Q&amp;A recording 👇https://t.co/sjigBCWOFv,
45,2023-06-01 22:12:08+00:00,RT @HarrisonKrank: Lmao they did the meme https://t.co/naEwhkzyNS,
46,2023-06-01 22:10:21+00:00,@VBatsss @Don_Tron_ @punk6529 Lindy Effect,
47,2023-06-01 20:35:33+00:00,@CryptoWendyO @TheDesertLynx The problem is not age,
48,2023-06-01 20:31:29+00:00,@adamscochran Pre-ordered 👏,
49,2023-06-01 19:06:52+00:00,The State’s greatest virtue is that it occasionally entangles itself.,
50,2023-06-01 17:48:25+00:00,@crypto_iverson @Don_Tron_ @punk6529 Exactly,
51,2023-06-01 16:04:55+00:00,"@punk6529 Agree, hard question.

Probably ATOM, UNI, or… embarrassingly… DOGE",
52,2023-06-01 15:29:11+00:00,@PsychMateAI I love you PsychMate,
53,2023-05-31 18:20:46+00:00,https://t.co/ZdoyT7cfC9,
54,2023-06-01 14:53:34+00:00,@s_chmel Are you asking if I believe that the poll is accurate?,
55,2023-06-01 00:49:18+00:00,@GrassRootsio @THORChain Nicely done 🙏,
56,2023-05-31 22:39:54+00:00,@d_fins Is the correlation random?,
57,2023-05-31 21:45:49+00:00,"@Bakker_Bots What is the conspiracy that I am believing in, in your opinion?",
58,2023-05-31 15:11:08+00:00,Inspiring 👏,
59,2023-05-29 17:15:24+00:00,@ClaudeChatelier @_TomHoward https://t.co/P7MwYDx4fH,
60,2023-05-29 00:42:55+00:00,lol sorry it's more like 1 year for every $2 trillion,
61,2023-05-28 23:21:33+00:00,RT @paoloardoino: https://t.co/9pP4UdX0Va,
62,2023-05-28 23:08:01+00:00,I appreciate that he's more honest about it than politicians in other countries,
63,2023-05-24 20:18:18+00:00,Sovereign computing 💪,
64,2023-05-22 20:49:32+00:00,Just print it silly,
65,2023-05-21 22:45:12+00:00,RT @Mr_Minion: Eric presenting today at @thotcon. https://t.co/FAgRn9szaU,
66,2023-05-18 21:05:55+00:00,"@jimmysong Why is Tether a scam?

Why is Uniswap a scam?

Why is Monero a scam?",
67,2023-05-17 20:58:45+00:00,RT @BitPaine: Putting the magnitude of this move in perspective: https://t.co/fx0TzuBiGm,
68,2023-05-16 20:10:56+00:00,@twobitidiot Love the spirit 💪,
69,2023-05-16 17:56:55+00:00,"@clarinetmike As I said, I’m glad that fight is happening too. 

#hydra",['hydra']
70,2023-05-15 17:59:43+00:00,@wsfoxley Maybe it’s a joke like the FTX sunglasses,
71,2023-05-15 17:31:05+00:00,@gaborgurbacs @BancoCentral_AR What would they buy it with?,
72,2023-05-15 15:10:49+00:00,"@crainbf Strength and respect to you Brian, gl.",
73,2023-05-15 03:52:29+00:00,@tokenstate I’m comparing US 2025 to Beirut 2023 in terms of fiat debasement and currency crises.,
74,2023-05-15 02:53:54+00:00,America 2025,
75,2023-05-14 19:14:36+00:00,"@OneMoreTard @punk6529 If the choice was that or them starving to death slowly, then yes I would.",
76,2023-05-14 02:48:52+00:00,@b00lchit @PeterMcCormack For or against what?,
77,2023-05-13 23:50:58+00:00,@PeterMcCormack Nobody should be forced to own a gun,
78,2023-05-13 15:38:34+00:00,@JoeBiden That will just raise airline ticket prices dummy,
79,2023-05-13 15:32:28+00:00,@JessicaVaugn Grocery bag fees aren’t market based so don’t expect rationality ;),
80,2023-05-13 15:30:31+00:00,@tingxiao7 I bet we could find something to disagree about if we tried hard enough!,
81,2023-05-13 14:28:16+00:00,@olya_borderless Depends on the specifics of the conflict.,
82,2023-05-13 03:27:14+00:00,@balajis Just a more honest version of QE,
83,2023-05-10 20:02:02+00:00,@CryptoWendyO Politicians are not public servants.,
84,2023-05-10 19:13:58+00:00,Great point Brad,
85,2023-05-10 15:24:57+00:00,@Mr_WacCo 50% of people aren’t your ancestors,
86,2023-05-10 14:25:33+00:00,"Celebrate the abundance of food.

99.999999999% of your ancestors couldn’t fathom such luxury.",
87,2023-05-10 15:23:51+00:00,https://t.co/i2M55GGRWg,
88,2023-05-10 15:01:59+00:00,@moo9000 @RuzhyoX @OurielOhayon @MetaMask @ShapeShift If you find a better price let us know.,
89,2023-05-10 14:30:30+00:00,@jacobc_eth @MetaMask @ShapeShift Nope. Same pricing. Same liquidity. No fee.,
90,2023-05-10 03:38:47+00:00,@OurielOhayon @MetaMask @ShapeShift Remember I said no catch,
91,2023-05-10 03:26:51+00:00,@mogarchy @MetaMask @ShapeShift Me after fasting all day and one glass of wine,
92,2023-05-10 03:11:45+00:00,@iamDCinvestor Inanimate Objects 2024,
93,2023-05-10 02:57:19+00:00,Similar vibe to the SEC offices then,
94,2023-05-10 02:30:13+00:00,Courage or compliance.,
